error,explanation,Fix,,,sources to add to references
Error: .github#L1 a step cannot have both the `uses` and `run` keys,"This error comes from a malformed workflow step in your GitHub Actions YAML file — specifically at line 1 (as indicated by #L1). In a single step, you can either:

Use a predefined GitHub Action with the uses key
OR

Execute a custom shell command with the run key

You cannot combine both in one step.","Split this into two separate steps:

Fixed version:

yaml

- name: Set up Node.js
  uses: actions/setup-node@v3

- name: Install dependencies
  run: npm install",,,https://github.com/orgs/community/discussions/137799
Invalid workflow file: .github/worflows/broken-action-2.yml#L11 You have an error in your yaml syntax on line 11,"This means there’s a YAML syntax error on line 11 of your workflow file. YAML is whitespace- and indentation-sensitive, so even a small mistake can break the file. Common issues include:

Mixing tabs and spaces

Missing colons :

Unquoted strings with special characters

Incorrect indentation under jobs or steps","Steps to fix it:
Open .github/workflows/broken-action-2.yml

Go to line 11

Check for:

Missing colon : after a key

Misaligned indentation

Special characters (like : or #) in strings not wrapped in quotes",,,https://github.com/orgs/community/discussions/103033
"/__w/_temp/36dfc03e-56ed-43fa-9019-85d8b151f42a.sh: 2: python3: not found
Running python here. Error: Process completed with exit code 127.","The workflow tried to run python3, but the command wasn't found in the environment. This usually means:

The GitHub Actions runner doesn't have Python 3 installed
or

You’re using a Docker container or environment that doesn’t include Python

Exit code 127 specifically means: “command not found”.","You’re going to want to look into what software packages the docker image referenced on in the image: key has. Does rocker/r-base image have Python?

If not, you may need to look for a Docker image to use that has python. We’ve used one in a previous example that you could borrow.",,,https://github.com/orgs/community/discussions/41497
"Run npm test
> my-app@1.0.0 test
> jest

No tests found, exiting with code 1
Run failed
##[error]Process completed with exit code 1.
","The error message is not clear enough but probably Jest didn’t find any test files to run. This could happen due to:

Wrong test file naming

Misconfigured jest.config.js

Tests accidentally excluded (e.g., by .gitignore or missing in commit)","If your GitHub Actions workflow fails without clear error messages, here's a short answer to help you troubleshoot:

Check Logs:
Go to the ""Actions"" tab, select the failed workflow, and review the logs for error messages or step failures.
Enable Debug Logging:
Add ACTIONS_RUNNER_DEBUG=true and ACTIONS_STEP_DEBUG=true to your workflow's environment variables for detailed logs.
Look at Recent Changes:
If you've made recent changes, they could be causing the issue. Try reverting or re-testing those changes.
Retry the Workflow:
Sometimes, workflows fail due to temporary issues. Try running the workflow again to see if it resolves the problem.",,,https://github.blog/changelog/2022-05-24-github-actions-re-run-jobs-with-debug-logging/
"Run npm install
npm ERR! code ERESOLVE
npm ERR! ERESOLVE could not resolve
npm ERR! 
npm ERR! While resolving: @typescript-eslint/eslint-plugin@4.28.2
npm ERR! Found: eslint@7.32.0
npm ERR! 
npm ERR! Could not resolve dependency:
npm ERR! peer eslint@""^5.0.0 || ^6.0.0"" from @typescript-eslint/eslint-plugin@4.28.2
npm ERR! node_modules/@typescript-eslint/eslint-plugin
npm ERR!   dev @typescript-eslint/eslint-plugin@""^4.28.2"" from the root project
npm ERR! 
npm ERR! Fix the upstream dependency conflict, or retry
npm ERR! this command with --force, or --legacy-peer-deps
npm ERR! to accept an incorrect (and potentially broken) dependency resolution.
npm ERR! 
npm ERR! See /home/runner/.npm/eresolve-report.txt for a full report.
Error: Process completed with exit code 1.","This error occurs due to a version conflict between @typescript-eslint/eslint-plugin and eslint. The plugin requires eslint version 5 or 6, but version 7.32.0 is installed.","Update @typescript-eslint/eslint-plugin to a version compatible with eslint@7.32.0, or adjust the eslint version to match the plugin's peer dependency requirements.",,,https://github.com/orgs/community/discussions/7381
"Run node app.js
internal/fs/utils.js:230
  throw err;
  ^

Error: ENOENT: no such file or directory, open '/home/runner/work/my-repo/my-repo/.env'
    at Object.openSync (fs.js:476:3)
    at Object.readFileSync (fs.js:377:35)
    at Object.<anonymous> (/home/runner/work/my-repo/my-repo/app.js:10:15)
    at Module._compile (internal/modules/cjs/loader.js:1063:30)
    at Object.Module._extensions..js (internal/modules/cjs/loader.js:1092:10)
    at Module.load (internal/modules/cjs/loader.js:928:32)
    at Function.Module._load (internal/modules/cjs/loader.js:769:14)
    at Function.executeUserEntryPoint [as runMain] (internal/modules/run_main.js:72:12)
    at internal/main/run_main_module.js:17:47 {
  errno: -2,
  syscall: 'open',
  code: 'ENOENT',
  path: '/home/runner/work/my-repo/my-repo/.env'
}
Error: ENOENT: no such file or directory, open '/home/runner/work/my-repo/my-repo/.env'","The application attempts to read a .env file that doesn't exist in the repository, leading to a ""No such file or directory"" error.",Ensure that the .env file is present in the repository or modify the application to handle the absence of the .env file gracefully.,,,https://stackoverflow.com/questions/69542929/is-there-a-way-to-log-error-responses-from-github-actions
"Run git push origin HEAD:refs/heads/main
remote: Permission to user/repo.git denied to github-actions[bot].
fatal: unable to access 'https://github.com/user/repo.git/': The requested URL returned error: 403
Error: Process completed with exit code 128.","The GitHub Actions bot lacks the necessary permissions to push changes to the repository, resulting in a 403 Forbidden error.",Use a Personal Access Token (PAT) with appropriate permissions instead of the default GITHUB_TOKEN to authenticate Git operations.,,,https://docs.github.com/en/actions/monitoring-and-troubleshooting-workflows/monitoring-workflows/using-workflow-run-logs
"Run docker build -t my-image .
Sending build context to Docker daemon  2.048kB
Step 1/5 : FROM node:14
14: Pulling from library/node
no matching manifest for linux/amd64 in the manifest list entries
Error: Process completed with exit code 1.","The specified Docker image (node:14) doesn't have a manifest compatible with the linux/amd64 architecture, causing the build to fail.","Specify a valid image tag that supports the linux/amd64 architecture, or use a different base image compatible with the target architecture.",,,https://docs.github.com/en/actions/monitoring-and-troubleshooting-workflows/troubleshooting-workflows/enabling-debug-logging
"Run python script.py
Traceback (most recent call last):
  File ""script.py"", line 5, in <module>
    import nonexistent_module
ModuleNotFoundError: No module named 'nonexistent_module'
Error: Process completed with exit code 1.","The Python script attempts to import a module that isn't installed in the environment, leading to a ModuleNotFoundError.",Ensure that all required Python modules are listed in the requirements.txt file and install them using pip install -r requirements.txt before running the script.,,,
"The workflow is not valid. .github/workflows/deploy.yml (Line: 15, Col: 9): mapping values are not allowed in this context. Error: YAML syntax error: mapping values are not allowed in this context
","This error indicates a syntax issue in the YAML file, often due to incorrect indentation or formatting.",Review the workflow file for proper YAML syntax. Utilize YAML validators to identify and correct formatting issues.,,,https://github.com/github/docs/blob/main/content/actions/monitoring-and-troubleshooting-workflows/troubleshooting-workflows/enabling-debug-logging.md
"remote: Permission to user/repo.git denied to github-actions[bot].
fatal: unable to access 'https://github.com/user/repo.git/': The requested URL returned error: 403. Error: Permission denied to access repository",The GitHub Actions runner lacks the necessary permissions to access the repository.,"Ensure that the workflow has the correct permissions set. If accessing another repository, use a Personal Access Token (PAT) with appropriate scopes.",,,https://docs.github.com/fr/actions/monitoring-and-troubleshooting-workflows/monitoring-workflows/using-workflow-run-logs
"Traceback (most recent call last):
  File ""script.py"", line 1, in <module>
    import requests
ModuleNotFoundError: No module named 'requests'. Error: ModuleNotFoundError: No module named 'requests'","The Python script requires the requests module, which is not installed in the environment.","Add a step in the workflow to install the required dependencies, typically using pip install -r requirements.txt.",,,https://docs.github.com/en/actions/monitoring-and-troubleshooting-workflows/troubleshooting-workflows
Error: Killed,"The process was terminated due to exceeding memory limits, often occurring when multiple workflows run concurrently.","Optimize the workflow to use less memory, or configure concurrency settings to limit simultaneous runs.",,,https://docs.github.com/en/actions/monitoring-and-troubleshooting-workflows
