error,category,explanation,fix
"##[group]Run npm ci
npm ci
shell: /usr/bin/bash -e {0}
##[endgroup]
npm ERR! code ERESOLVE
npm ERR! ERESOLVE could not resolve
npm ERR! While resolving: ttf-loader@1.0.2
npm ERR! Found: file-loader@4.3.0
npm ERR! Could not resolve dependency:
npm ERR! peer file-loader@""^1.1.6"" from ttf-loader@1.0.2
npm ERR! Fix the upstream dependency conflict, or retry with --legacy-peer-deps.
##[error]Process completed with exit code 1.",Dependency/Environment Errors,NPM install failed due to version conflict between dependencies.,Run npm install with --legacy-peer-deps or align dependency versions.
"> eslint-plugin-eslint-plugin@6.0.0 test
> nyc --all --check-coverage --include lib mocha tests --recursive

 Error [ERR_REQUIRE_ESM]: require() of ES Module not supported.
 Instead change require to dynamic import() or update project to ESM modules.
##[error]Process completed with exit code 1.",Script/Step Failures,"CommonJS require() used on an ES module, causing incompatibility.",Use import() or migrate to ES modules.
"Error response from daemon: manifest for medicmobile/cht-haproxy:4.7.0-dependabot-npm-and-yarn-webapp-angular-b1a866d120.9137105888 not found: manifest unknown: manifest unknown
##[error]Process completed with exit code 1.",Docker/Build Failures,Docker build failed due to a non-existent image tag.,Verify the image and tag exist or rebuild and push it correctly.
"Error: SuperTokens core threw an error for a GET request to path: '/public/recipe/multitenancy/tenant/v2' with status code: 404 and message: Not found
0 passing (35s)
1 failing
TimeoutError: waiting for selector `.sessionButton` failed: timeout 30000ms exceeded
##[error]Process completed with exit code 1.",API/Network Errors,API endpoint returned a 404 error due to missing deployment or misconfigured route.,Verify the API route and ensure it's deployed correctly.
"Running command audit...
â¨‰ Broken link: https://medium.com/poka-techblog/simplify-your-javascript
â¨‰ We found errors related to the project integrity.
##[error]Process completed with exit code 1.",HTML/Content Validation Errors,Audit failed due to broken external links in documentation.,Replace or remove outdated or broken URLs in the documentation.
Error: .github#L1 a step cannot have both the `uses` and `run` keys,YAML Syntax / Workflow Definition Error,"This error comes from a malformed workflow step in your GitHub Actions YAML file — specifically at line 1 (as indicated by #L1). In a single step, you can either:

Use a predefined GitHub Action with the uses key
OR

Execute a custom shell command with the run key

You cannot combine both in one step.","Split this into two separate steps:

Fixed version:

yaml

- name: Set up Node.js
  uses: actions/setup-node@v3

- name: Install dependencies
  run: npm install"
Invalid workflow file: .github/worflows/broken-action-2.yml#L11 You have an error in your yaml syntax on line 11,YAML Syntax Error,"This means there’s a YAML syntax error on line 11 of your workflow file. YAML is whitespace- and indentation-sensitive, so even a small mistake can break the file. Common issues include:

Mixing tabs and spaces

Missing colons :

Unquoted strings with special characters

Incorrect indentation under jobs or steps","Steps to fix it:
Open .github/workflows/broken-action-2.yml

Go to line 11

Check for:

Missing colon : after a key

Misaligned indentation

Special characters (like : or #) in strings not wrapped in quotes"
"/__w/_temp/36dfc03e-56ed-43fa-9019-85d8b151f42a.sh: 2: python3: not found
Running python here. Error: Process completed with exit code 127.",Environment Configuration Error,"The workflow tried to run python3, but the command wasn't found in the environment. This usually means:

The GitHub Actions runner doesn't have Python 3 installed
or

You’re using a Docker container or environment that doesn’t include Python

Exit code 127 specifically means: “command not found”.","You’re going to want to look into what software packages the docker image referenced on in the image: key has. Does rocker/r-base image have Python?

If not, you may need to look for a Docker image to use that has python. We’ve used one in a previous example that you could borrow."
"Run npm test
> my-app@1.0.0 test
> jest

No tests found, exiting with code 1
Run failed
##[error]Process completed with exit code 1.",Test Execution Error,"The error message is not clear enough but probably Jest didn’t find any test files to run. This could happen due to:

Wrong test file naming

Misconfigured jest.config.js

Tests accidentally excluded (e.g., by .gitignore or missing in commit)","If your GitHub Actions workflow fails without clear error messages, here's a short answer to help you troubleshoot:

Check Logs:
Go to the ""Actions"" tab, select the failed workflow, and review the logs for error messages or step failures.
Enable Debug Logging:
Add ACTIONS_RUNNER_DEBUG=true and ACTIONS_STEP_DEBUG=true to your workflow's environment variables for detailed logs.
Look at Recent Changes:
If you've made recent changes, they could be causing the issue. Try reverting or re-testing those changes.
Retry the Workflow:
Sometimes, workflows fail due to temporary issues. Try running the workflow again to see if it resolves the problem."
"Run npm install
npm ERR! code ERESOLVE
npm ERR! ERESOLVE could not resolve
npm ERR! 
npm ERR! While resolving: @typescript-eslint/eslint-plugin@4.28.2
npm ERR! Found: eslint@7.32.0
npm ERR! 
npm ERR! Could not resolve dependency:
npm ERR! peer eslint@""^5.0.0 || ^6.0.0"" from @typescript-eslint/eslint-plugin@4.28.2
npm ERR! node_modules/@typescript-eslint/eslint-plugin
npm ERR!   dev @typescript-eslint/eslint-plugin@""^4.28.2"" from the root project
npm ERR! 
npm ERR! Fix the upstream dependency conflict, or retry
npm ERR! this command with --force, or --legacy-peer-deps
npm ERR! to accept an incorrect (and potentially broken) dependency resolution.
npm ERR! 
npm ERR! See /home/runner/.npm/eresolve-report.txt for a full report.
Error: Process completed with exit code 1.",Dependency Resolution Error,"This error occurs due to a version conflict between @typescript-eslint/eslint-plugin and eslint. The plugin requires eslint version 5 or 6, but version 7.32.0 is installed.","Update @typescript-eslint/eslint-plugin to a version compatible with eslint@7.32.0, or adjust the eslint version to match the plugin's peer dependency requirements."
